Date,Open,High,Low,Close,Volume,Year,Month,Day,Weekday
2020-01-01,186.95893710821164,186.95893710821164,185.7835875755689,186.5671539306641,4208837,2020,1,1,2
2020-01-02,186.64550857299756,188.80031610931871,186.5671591090776,187.9384002685547,8402979,2020,1,2,3
2020-01-03,188.83950069915323,188.83950069915323,186.4888015203256,186.88058471679688,9284478,2020,1,3,4
2020-01-06,186.0970311303952,186.72388667914208,184.13811501323315,184.2164764404297,7636617,2020,1,6,0
2020-01-07,184.96086289811265,186.41045365672497,183.82469393696377,184.4123687744141,8416741,2020,1,7,1
2020-01-08,183.3545500869106,184.7649720942188,182.76687524688845,183.51126098632812,7043211,2020,1,8,2
2020-01-09,184.60824272953857,185.39180910452595,184.17727883204068,184.76495361328125,9452653,2020,1,9,3
2020-01-10,186.1753782766339,187.076474838898,185.54852277597124,186.48880004882812,9973746,2020,1,10,4
2020-01-13,186.88058691712385,188.4477197214603,186.68469531658175,187.46826171875,12243639,2020,1,13,0
2020-01-14,188.25182464066415,191.03348770819105,186.72387257593857,190.60252380371097,11843444,2020,1,14,1
2020-01-15,190.05401978690415,190.40662225167105,188.91785097542257,189.9364776611328,5476729,2020,1,15,2
2020-01-16,190.01484158873436,191.11182970611856,188.1342871142832,188.6436004638672,9369668,2020,1,16,3
2020-01-17,188.6436402771751,189.70145986497823,187.58582068937207,188.01678466796875,7392403,2020,1,17,4
2020-01-20,188.0951175790301,190.60252767934313,188.0951175790301,189.54470825195312,8020816,2020,1,20,0
2020-01-21,189.19209927675575,189.19209927675575,186.4887976681985,186.8414001464844,9571070,2020,1,21,1
2020-01-22,187.7424995768619,187.7424995768619,185.7835837296754,186.52796936035156,7654918,2020,1,22,2
2020-01-23,186.5671842873199,187.07649771849347,185.6268949431907,186.41046142578125,6120434,2020,1,23,3
2020-01-24,186.01869410631113,187.3507668057512,185.7052722689586,186.6063690185547,6801874,2020,1,24,4
2020-01-27,185.70524644764865,186.0186682414216,183.58961944899372,183.82469177246097,6837613,2020,1,27,0
2020-01-28,183.94220306297296,184.84329959472296,180.6120460320139,180.8079376220703,14582907,2020,1,28,1
2020-01-29,181.3956223039205,186.214550900111,181.1213692803465,185.4309844970703,20469708,2020,1,29,2
2020-01-30,185.66606036399403,185.7052410761511,182.5709754039798,183.3937225341797,10394149,2020,1,30,3
2020-01-31,184.72579040399617,186.80223671192337,183.39372983157443,184.25564575195312,18455880,2020,1,31,4
2020-02-03,168.46676700520698,169.95553830320858,160.6311034235694,162.6683807373047,79764370,2020,2,3,0
2020-02-04,165.1757846934363,170.50403812669683,163.88289307565617,168.97607421875,35767812,2020,2,4,1
2020-02-05,169.485420868045,170.42569819094695,165.72429962016224,169.6029510498047,21253607,2020,2,5,2
2020-02-06,170.81746480028565,172.30623608713643,165.95935580731208,167.33059692382812,27388582,2020,2,6,3
2020-02-07,167.52650748064048,169.01527893606232,166.70376032631785,167.21307373046875,17133407,2020,2,7,4
2020-02-10,167.6832213111398,167.7224020251311,164.58813620623127,164.97991943359375,9617387,2020,2,10,0
2020-02-11,169.64213170444688,169.99473420588015,165.95937188318038,166.5862274169922,29803784,2020,2,11,1
2020-02-12,167.21305330294769,168.31005336012157,165.95935432424355,166.93881225585938,9928416,2020,2,12,2
2020-02-13,166.93881294232963,167.25223469922608,165.48921041506782,166.03770446777344,9153131,2020,2,13,3
2020-02-14,166.31196403686295,166.82127740099153,162.0415296601512,162.74673461914062,13731692,2020,2,14,4
2020-02-17,162.98182125416665,163.49113466307583,159.8475554608173,160.4744110107422,15561953,2020,2,17,0
2020-02-18,160.27850505983992,160.31768577000665,157.10505883672116,159.73001098632812,20934864,2020,2,18,1
2020-02-19,160.82699644500477,162.31576775626138,159.73000831631816,161.96316528320312,9054560,2020,2,19,2
2020-02-20,162.19823980726486,163.41277008113445,160.98370953339526,162.55084228515625,15592846,2020,2,20,3
2020-02-24,162.1982457203231,162.55084821106888,158.12370280845877,159.06398010253906,16594046,2020,2,24,0
